"Id. de la fila","Id. del pedido","Fecha del pedido","Fecha de envío","Forma de envío","Id. del cliente","Nombre del cliente","Segmento","Ciudad","Estado","País","Región","Id. del producto","Categoría","Subcategoría","Nombre del producto","Total ($ COP)","Cantidad","Descuento","Ganancia ($ COP)"
"37","MX-2015-100727","42505","42508","Urgente","DC-13525","David Caraballo","Empresa","Ciudad de México","Distrito Federal","México","Norte","MAT-SU-10001433","Material de oficina","Suministros","Kleencut Cúter, Acero","15436","4","0","5399.2"
"38","MX-2015-154739","42555","42558","Rápido","RC-20440","Reinaldo Córdova","Empresa","Artemisa","Artemisa","Cuba","Caribe","MOB-ME-10001663","Mobiliario","Mesas","Chromcraft Mesa de café, Rectangular","89984.4","3","0","44992.2"
"39","MX-2015-154739","42555","42558","Rápido","RC-20440","Reinaldo Córdova","Empresa","Artemisa","Artemisa","Cuba","Caribe","MOB-LI-10001049","Mobiliario","Librerías","Ikea Librería, Blanco","56712","4","0","18142.4"
"40","MX-2015-154739","42555","42558","Rápido","RC-20440","Reinaldo Córdova","Empresa","Artemisa","Artemisa","Cuba","Caribe","MAT-GR-10000408","Material de oficina","Grapas","Advantus Cintas de goma, Paquete de 12","7262.4","4","0","68"
"41","MX-2015-121398","42713","42715","Rápido","AV-10825","Amelia Vega","Empresa","La Romana","La Romana","República Dominicana","Caribe","MAT-SU-10004354","Material de oficina","Suministros","Fiskars Recortadora, Rectangular","10608","3","0.2","1458.6"
"42","MX-2014-121839","42173","42177","Rápido","OP-19690","Onésimo Pagán","Cliente","Milpa Alta","Distrito Federal","México","Norte","TEC-TE-10001183","Tecnología","Teléfonos","Motorola Teléfono inteligente, Azul","58833.6","4","0","26465.6"
"43","MX-2015-142643","42672","42676","Estándar","LG-17815","Lorena Garay","Cliente","San Juan del Río","Querétaro","México","Norte","TEC-MÁ-10001560","Tecnología","Máquinas","Panasonic Inyección de tinta, Blanco","70380","2","0","7738.4"
"44","MX-2015-142643","42672","42676","Estándar","LG-17815","Lorena Garay","Cliente","San Juan del Río","Querétaro","México","Norte","MAT-EL-10003978","Material de oficina","Electrodomésticos","Hamilton Beach Horno, Negro","122801.2","2","0","8595.2"
"45","MX-2015-142643","42672","42676","Estándar","LG-17815","Lorena Garay","Cliente","San Juan del Río","Querétaro","México","Norte","TEC-AC-10002841","Tecnología","Accesorios","Memorex Ratón, Económico","9577.8","3","0","663"
"46","MX-2015-164959","42386","42387","Mismo día","JC-16960","Julio Corral","Pequeña empresa","Goiânia","Goiás","Brasil","Sur","MOB-SI-10002108","Mobiliario","Sillas","Novimex Silla plegable, 2","28723.2","3","0","6885"
"47","US-2013-151372","41757","41762","Estándar","AL-10240","Adolfo Lira","Cliente","Santo Domingo","Santo Domingo","República Dominicana","Caribe","MAT-AL-10001629","Material de oficina","Almacenamiento","Eldon Bandejas, Metal","21324.8","5","0.2","-10.2"
"48","US-2013-151372","41757","41762","Estándar","AL-10240","Adolfo Lira","Cliente","Santo Domingo","Santo Domingo","República Dominicana","Caribe","TEC-CO-10000159","Tecnología","Copiadoras","Canon Fotocopiadora personal, Color","26079.2784","2","0.202","6141.6784"
"49","MX-2012-127145","41438","41443","Estándar","QG-20200","Quique Griego","Cliente","São Benedito","Ceará","Brasil","Sur","MOB-MO-10004363","Mobiliario","Mobiliario","Advantus Bombilla, Negro","4549.2","2","0","1271.6"
"50","MX-2015-100783","42496","42500","Estándar","MR-18205","Mafalda Rojo","Empresa","Medellín","Antioquia","Colombia","Sur","MAT-GR-10003651","Material de oficina","Grapas","Accos Clips, Paquete de 12","7633","5","0","1445"
"51","MX-2012-168662","41561","41566","Rápido","IE-16255","Inmaculada Escobar","Empresa","Toluca","México","México","Norte","MAT-SU-10002747","Material de oficina","Suministros","Stiletto Abrecartas, Rectangular","11369.6","4","0","4882.4"
"52","US-2012-150987","41367","41371","Rápido","DC-13480","Débora Ceja","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","TEC-CO-10003293","Tecnología","Copiadoras","Hewlett Fotocopiadora con fax, 2","39214.3284","3","0.402","-14560.0716"
"53","US-2012-150987","41367","41371","Rápido","DC-13480","Débora Ceja","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","TEC-CO-10000159","Tecnología","Copiadoras","Canon Fotocopiadora personal, Color","29314.6776","3","0.402","-591.72240000001"
"54","US-2012-150987","41367","41371","Rápido","DC-13480","Débora Ceja","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-EL-10001422","Material de oficina","Electrodomésticos","KitchenAid Horno, Negro","116194.32","3","0.4","-13559.88"
"55","US-2012-150987","41367","41371","Rápido","DC-13480","Débora Ceja","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-SO-10001671","Material de oficina","Sobres","Ames Paquetes, Reciclado","4712.4","2","0.4","700.4"
"56","MX-2014-156013","42156","42161","Estándar","CB-13030","Crístofer Barraza","Pequeña empresa","Santo Domingo","Santo Domingo","República Dominicana","Caribe","MAT-GR-10003937","Material de oficina","Grapas","Stockwell Chinchetas, Metal","3712.8","3","0.2","510"
"57","MX-2014-156013","42156","42161","Estándar","CB-13030","Crístofer Barraza","Pequeña empresa","Santo Domingo","Santo Domingo","República Dominicana","Caribe","MOB-LI-10002187","Mobiliario","Librerías","Bush Estante de esquina, Negro","34092.48","4","0.4","-2273.92"
"58","MX-2012-137897","41412","41415","Rápido","HP-15580","Herminia Páez","Cliente","Tulancingo","Hidalgo","México","Norte","TEC-TE-10002989","Tecnología","Teléfonos","Nokia Cargador, Tamaño completo","361165","5","0","83062"
"59","US-2012-134950","41511","41515","Estándar","NH-19240","Neftalí Herrera","Cliente","Ciudad de Panamá","Panamá","Panamá","Centro","MAT-AR-10004509","Material de oficina","Arte","Sanford Subrayadores, Tamaños variados","3861.72","3","0.4","-2003.28"
"60","MX-2014-152611","42289","42295","Estándar","CB-13030","Crístofer Barraza","Pequeña empresa","Pinheiro","Maranhão","Brasil","Sur","TEC-TE-10002248","Tecnología","Teléfonos","Samsung Teléfono de oficina, Azul","66524.4","9","0","24602.4"
"61","MX-2012-155488","41569","41575","Estándar","CA-12220","Carina Almaraz","Cliente","La Paz","Baja California Sur","México","Norte","MAT-EL-10004525","Material de oficina","Electrodomésticos","Hoover Batidora, Blanco","10801.8","1","0","3563.2"
"62","MX-2015-116337","42506","42506","Mismo día","MR-18205","Mafalda Rojo","Empresa","Lençóis Paulista","São Paulo","Brasil","Sur","MOB-LI-10004334","Mobiliario","Librerías","Safco Librería clásica, Metal","148787.4","3","0","23796.6"
"63","US-2013-164609","41878","41880","Rápido","JA-16885","Joshua Altamirano","Cliente","Tegucigalpa","Francisco Morazán","Honduras","Centro","MOB-LI-10002777","Mobiliario","Librerías","Ikea Biblioteca, Negro","74406.96","3","0.4","-42168.84"
"64","MX-2015-165442","42443","42446","Urgente","AV-11530","Astrid Vega","Pequeña empresa","Ciudad Madero","Tamaulipas","México","Norte","MAT-CA-10003118","Material de oficina","Carpetas","Acco Encuadernadora, Reciclado","11662","2","0","4542.4"
"65","MX-2015-165442","42443","42446","Urgente","AV-11530","Astrid Vega","Pequeña empresa","Ciudad Madero","Tamaulipas","México","Norte","MAT-CA-10002173","Material de oficina","Carpetas","Acco Carpeta, Transparente","8279","5","0","2975"
"66","US-2013-104997","41949","41955","Estándar","NL-19300","Nelson Limón","Cliente","La Ceiba","Atlántida","Honduras","Centro","MOB-ME-10003021","Mobiliario","Mesas","Hon Mesa de formación, Rectangular","22458.36","2","0.7","-15723.64"
"67","MX-2012-165673","41426","41431","Estándar","NP-19210","Natalia Paredes","Empresa","Guantánamo","Guantánamo","Cuba","Caribe","MAT-PA-10004174","Material de oficina","Papel","Eaton Papel de tipo pergamino, Premium","3053.2","2","0","972.4"
"68","MX-2012-165673","41426","41431","Estándar","NP-19210","Natalia Paredes","Empresa","Guantánamo","Guantánamo","Cuba","Caribe","TEC-CO-10004914","Tecnología","Copiadoras","Hewlett Fotocopiadora con fax, Rojo","108056.454","5","0.002","45241.454"
"69","MX-2014-164021","42209","42215","Estándar","AR-11140","Antonio Rocha","Cliente","Bello","Antioquia","Colombia","Sur","MOB-LI-10002871","Mobiliario","Librerías","Sauder Librería clásica, Negro","148695.6","3","0","69880.2"
"70","MX-2014-164021","42209","42215","Estándar","AR-11140","Antonio Rocha","Cliente","Bello","Antioquia","Colombia","Sur","MOB-MO-10001975","Mobiliario","Mobiliario","Deflect-O Bombilla, Negro","12913.2","6","0","6446.4"
"71","US-2015-120194","42625","42632","Estándar","VA-21445","Valentina Acuna","Empresa","Abreu e Lima","Pernambuco","Brasil","Sur","MOB-ME-10000182","Mobiliario","Mesas","Chromcraft Mesa de conferencias, Rectangular","157803.52","2","0.2","-13808.08"
"72","US-2012-132388","41329","41333","Estándar","EA-14470","Ezequiel Acevedo","Cliente","Santo Domingo","Santo Domingo","República Dominicana","Caribe","TEC-MÁ-10001594","Tecnología","Máquinas","Okidata Impresora, Duradero","18266.16","2","0.7","-20704.64"
"73","MX-2013-156720","41688","41693","Estándar","EP-14215","Evaristo Pérez","Empresa","Monterrey","Nuevo León","México","Norte","MAT-SU-10002958","Material de oficina","Suministros","Stiletto Recortadora, Azul","4845","1","0","2080.8"
"74","MX-2013-156720","41688","41693","Estándar","EP-14215","Evaristo Pérez","Empresa","Monterrey","Nuevo León","México","Norte","TEC-AC-10003789","Tecnología","Accesorios","Memorex Memoria USB, Económico","16660","5","0","3485"
"75","MX-2013-156720","41688","41693","Estándar","EP-14215","Evaristo Pérez","Empresa","Monterrey","Nuevo León","México","Norte","MAT-CA-10004833","Material de oficina","Carpetas","Cardinal Separadores, Transparente","1523.2","2","0","666.4"
"76","MX-2013-156720","41688","41693","Estándar","EP-14215","Evaristo Pérez","Empresa","Monterrey","Nuevo León","México","Norte","MAT-SO-10000926","Material de oficina","Sobres","Jiffy Paquetes, Rojo","23069","5","0","5304"
"77","US-2015-157630","42546","42550","Estándar","JS-16915","Josué Solórzano","Cliente","Lima","Lima (city)","Perú","Sur","MAT-SU-10004454","Material de oficina","Suministros","Fiskars Tijeras, Azul","3149.76","2","0.4","-1419.84"
"78","US-2015-157630","42546","42550","Estándar","JS-16915","Josué Solórzano","Cliente","Lima","Lima (city)","Perú","Sur","MAT-AL-10003773","Material de oficina","Almacenamiento","Smead Casilleros, Tamaño completo","26989.2","2","0.4","2692.8"
"79","US-2015-157630","42546","42550","Estándar","JS-16915","Josué Solórzano","Cliente","Lima","Lima (city)","Perú","Sur","MAT-SU-10001629","Material de oficina","Suministros","Kleencut Cizallas, Rectangular","20691.72","7","0.4","-347.48"
"80","US-2012-119935","41439","41443","Estándar","IR-16465","Isaías Rosales","Cliente","San Miguelito","Panamá","Panamá","Centro","MOB-MO-10000312","Mobiliario","Mobiliario","Tenex Bombilla, Surtido","3873.96","3","0.4","-134.64"
"81","US-2012-119935","41439","41443","Estándar","IR-16465","Isaías Rosales","Cliente","San Miguelito","Panamá","Panamá","Centro","MOB-SI-10001417","Mobiliario","Sillas","Office Star Silla de playa, 2","54920.88","14","0.4","-21096.32"
"82","US-2012-119935","41439","41443","Estándar","IR-16465","Isaías Rosales","Cliente","San Miguelito","Panamá","Panamá","Centro","TEC-AC-10002784","Tecnología","Accesorios","Enermax Tarjeta de memoria, Negro","23378.4","3","0.4","-3896.4"
"83","US-2012-119935","41439","41443","Estándar","IR-16465","Isaías Rosales","Cliente","San Miguelito","Panamá","Panamá","Centro","MAT-AR-10001228","Material de oficina","Arte","Binney & Smith Subrayadores, Tamaños variados","6721.8","5","0.4","-3376.2"
"84","MX-2014-119970","42181","42187","Estándar","MM-18220","Maya Méndez","Cliente","Ciudad de México","Distrito Federal","México","Norte","MAT-AL-10000618","Material de oficina","Almacenamiento","Eldon Casilleros, Tamaño completo","44866.4","2","0","890.8"
"85","MX-2014-119970","42181","42187","Estándar","MM-18220","Maya Méndez","Cliente","Ciudad de México","Distrito Federal","México","Norte","MAT-SU-10004335","Material de oficina","Suministros","Elite Recortadora, Industrial","24531","5","0","6120"
"86","MX-2015-165925","42392","42397","Estándar","CA-12355","Camilo Almaraz","Cliente","Tuxtla Gutiérrez","Chiapas","México","Norte","MAT-PA-10002682","Material de oficina","Papel","Green Bar Recordadores, Multicolor","6242.4","3","0","1744.2"
"87","MX-2015-137365","42539","42544","Estándar","MC-18760","Mauro Cortés","Cliente","Piedras Negras","Coahuila","México","Norte","MAT-GR-10004127","Material de oficina","Grapas","OIC Clips, Al por mayor","13083.2","8","0","1686.4"
"88","MX-2015-137365","42539","42544","Estándar","MC-18760","Mauro Cortés","Cliente","Piedras Negras","Coahuila","México","Norte","MOB-MO-10000971","Mobiliario","Mobiliario","Eldon Tope para puertas, Premium","6634.08","2","0.4","-335.92"
"89","MX-2013-158981","42002","42006","Estándar","SA-20845","Samuel Alemán","Cliente","Tijuana","Baja California","México","Norte","TEC-AC-10004877","Tecnología","Accesorios","Memorex Teclado, Económico","24255.6","3","0","5569.2"
"90","MX-2013-158981","42002","42006","Estándar","SA-20845","Samuel Alemán","Cliente","Tijuana","Baja California","México","Norte","MOB-LI-10000130","Mobiliario","Librerías","Dania Biblioteca, Negro","98940","3","0.2","37097.4"
"91","MX-2013-158981","42002","42006","Estándar","SA-20845","Samuel Alemán","Cliente","Tijuana","Baja California","México","Norte","MAT-CA-10004520","Material de oficina","Carpetas","Ibico Anillas, Económico","7129.8","9","0","0"
"92","MX-2013-158981","42002","42006","Estándar","SA-20845","Samuel Alemán","Cliente","Tijuana","Baja California","México","Norte","MAT-SO-10002576","Material de oficina","Sobres","Ames Paquetes, Plateado","43350","10","0","15606"
"93","MX-2014-169292","42118","42122","Estándar","AC-10780","Amadeo Collado","Empresa","Chihuahua","Chihuahua","México","Norte","MAT-PA-10002873","Material de oficina","Papel","Xerox Recordadores, Paquete de 12","10013","5","0","2601"
"94","MX-2014-169292","42118","42122","Estándar","AC-10780","Amadeo Collado","Empresa","Chihuahua","Chihuahua","México","Norte","MAT-SO-10000960","Material de oficina","Sobres","Kraft Sobre de tipo Manila, 50","15011","5","0","1496"
"95","MX-2014-169292","42118","42122","Estándar","AC-10780","Amadeo Collado","Empresa","Chihuahua","Chihuahua","México","Norte","MAT-GR-10002755","Material de oficina","Grapas","Stockwell Chinchetas, Metal","3005.6","2","0","387.6"
"96","MX-2012-112319","41384","41390","Estándar","IR-16465","Isaías Rosales","Cliente","Natal","Río Grande del Norte","Brasil","Sur","MOB-LI-10004751","Mobiliario","Librerías","Dania Estante de esquina, Negro","97913.2","7","0","20539.4"
"97","MX-2012-112319","41384","41390","Estándar","IR-16465","Isaías Rosales","Cliente","Natal","Río Grande del Norte","Brasil","Sur","TEC-AC-10001452","Tecnología","Accesorios","Enermax Memoria USB, Económico","9411.2","2","0","278.8"
"98","MX-2012-149986","41569","41573","Estándar","AM-10075","Alberto Márquez","Empresa","Estelí","Estelí","Nicaragua","Centro","MAT-AL-10001420","Material de oficina","Almacenamiento","Smead Estanterías, Metal","16320","3","0","816"
"99","US-2014-125892","42225","42227","Urgente","MR-18400","Manila Roque","Cliente","Santo Domingo","Santo Domingo","República Dominicana","Caribe","MOB-SI-10001417","Mobiliario","Sillas","Office Star Silla de playa, 2","15691.68","3","0.2","-597.72"
"100","US-2014-125892","42225","42227","Urgente","MR-18400","Manila Roque","Cliente","Santo Domingo","Santo Domingo","República Dominicana","Caribe","MAT-PA-10000419","Material de oficina","Papel","Eaton Resma, Premium","14443.2","6","0.2","-918"
"101","MX-2014-158533","42352","42357","Rápido","HH-15850","Higinia Horta","Cliente","Mixco","Guatemala","Guatemala","Centro","TEC-AC-10001933","Tecnología","Accesorios","Logitech Router, Económico","84088.8","3","0","33629.4"
"102","MX-2014-165708","42343","42348","Estándar","BF-12040","Bibiana Ferro","Pequeña empresa","Camagüey","Camagüey","Cuba","Caribe","MAT-GR-10002350","Material de oficina","Grapas","Stockwell Pasadores, Tamaños variados","6698","5","0","867"
"103","US-2014-103051","42313","42319","Estándar","UR-21400","Unai Reynoso","Cliente","Ocotlán","Jalisco","México","Norte","MOB-SI-10004577","Mobiliario","Sillas","Office Star Silla plegable, Rojo","41575.2","5","0.2","-4681.8"
"104","US-2014-103051","42313","42319","Estándar","UR-21400","Unai Reynoso","Cliente","Ocotlán","Jalisco","México","Norte","MAT-AR-10004786","Material de oficina","Arte","Sanford Bolígrafos, Metal","2801.6","2","0","387.6"
"105","MX-2014-151988","42339","42341","Rápido","NC-19150","Nadia Calderón","Cliente","Cholula","Puebla","México","Norte","MAT-SO-10004992","Material de oficina","Sobres","Jiffy Sobre de hebilla, 50","965.6","1","0","384.2"
"106","MX-2013-141915","41923","41929","Estándar","KA-17350","Kristina Arroyo","Cliente","Ciudad de México","Distrito Federal","México","Norte","MOB-SI-10002977","Mobiliario","Sillas","Hon Estora, Rojo","45312.48","9","0.2","1126.08"
"107","US-2012-150623","41545","41550","Estándar","FM-14785","Flora Montes","Pequeña empresa","Santo Domingo","Santo Domingo","República Dominicana","Caribe","MAT-PA-10000211","Material de oficina","Papel","Green Bar Material de oficina, Reciclado","13137.6","3","0.2","-173.4"
"108","US-2015-112368","42529","42533","Rápido","TJ-21265","Tito Jáquez","Empresa","Buenos Aires","Ciudad de Buenos Aires","Argentina","Sur","MAT-AR-10003530","Material de oficina","Arte","Stanley Bolígrafos, Azul","2733.6","4","0.4","-911.2"
"109","US-2015-112368","42529","42533","Rápido","TJ-21265","Tito Jáquez","Empresa","Buenos Aires","Ciudad de Buenos Aires","Argentina","Sur","MAT-PA-10001901","Material de oficina","Papel","Green Bar Agenda, Paquete de 12","1899.24","1","0.4","-31.96"
"110","MX-2014-135895","42252","42252","Mismo día","NJ-19420","Nilo Jaime","Empresa","Jiutepec","Morelos","México","Norte","TEC-AC-10001445","Tecnología","Accesorios","SanDisk Ratón, Blanco","8187.2","2","0","2291.6"
"111","MX-2015-162152","42597","42604","Estándar","SB-20680","Samanta Botello","Pequeña empresa","Tijuana","Baja California","México","Norte","TEC-TE-10001768","Tecnología","Teléfonos","Apple Amplificador de señal, Tamaños variados","79050","5","0","4743"
"112","MX-2013-121006","41952","41956","Estándar","ES-14200","Emanuel Saucedo","Pequeña empresa","Huehuetenango","Huehuetenango","Guatemala","Centro","MAT-SU-10003943","Material de oficina","Suministros","Fiskars Regla, Acero","7837","5","0","1717"
"113","US-2014-130631","42264","42269","Rápido","RZ-20275","Rafel Zarate","Cliente","Resistencia","Chaco","Argentina","Sur","MAT-PA-10000460","Material de oficina","Papel","Enermax Agenda, Multicolor","11381.16","7","0.4","-2851.24"
